model,distance
Standard,0.00866711139678955
Standard,0.0025800764560699463
Standard,0.00017601251602172852
Standard,0.0012506842613220215
Standard,0.010000020265579224
Standard,0.0027372241020202637
Standard,0.004175543785095215
Standard,0.004903048276901245
Standard,0.005004018545150757
Standard,0.002940952777862549
Standard,0.0054779052734375
Standard,0.030000001192092896
Standard,0.002789795398712158
Standard,0.015425145626068115
Standard,0.007821649312973022
Standard,0.0
Standard,0.005351930856704712
Standard,0.003616541624069214
Standard,0.010000020265579224
Standard,0.010000020265579224
Standard,0.002529352903366089
Standard,0.005525141954421997
Standard,0.00035512447357177734
Standard,0.02537199854850769
Standard,0.00040418654680252075
Standard,0.0025635063648223877
Standard,0.004328608512878418
Standard,0.00767633318901062
Standard,0.010000020265579224
Standard,0.0067095160484313965
Standard,0.0032605230808258057
Standard,0.0034196078777313232
Standard,0.001656264066696167
Standard,0.004392027854919434
Standard,0.010000020265579224
Standard,0.0027485191822052
Standard,0.0026552975177764893
Standard,0.0
Standard,0.02218577265739441
Standard,0.010000020265579224
Standard,0.010000020265579224
Standard,0.008510112762451172
Standard,0.004324197769165039
Standard,0.005236566066741943
Standard,0.010000020265579224
Standard,0.010000020265579224
Standard,0.0005218982696533203
Standard,0.00077095627784729
Standard,0.01651078462600708
Standard,0.0019555091857910156
Standard,0.008095026016235352
Standard,0.005583047866821289
Standard,0.0
Standard,0.003294229507446289
Standard,0.007583022117614746
Standard,0.00881686806678772
Standard,0.007929563522338867
Standard,0.001253664493560791
Standard,0.0004603862762451172
Standard,0.0
Standard,0.010000020265579224
Standard,0.0
Standard,0.004416733980178833
Standard,0.004751354455947876
Standard,0.0064577460289001465
Standard,0.006880283355712891
Standard,0.003626108169555664
Standard,0.009512364864349365
Standard,0.0012798309326171875
Standard,0.0030649304389953613
Standard,0.0007434487342834473
Standard,0.006025522947311401
Standard,0.0037415921688079834
Standard,0.004952281713485718
Standard,0.0030808746814727783
Standard,0.020294249057769775
Standard,0.005604743957519531
Standard,0.010000020265579224
Standard,0.0
Standard,0.009078294038772583
Standard,0.010000020265579224
Standard,0.002346336841583252
Standard,0.023474067449569702
Standard,0.009472131729125977
Standard,0.0035787224769592285
Standard,0.004977107048034668
Standard,0.003220498561859131
Standard,0.0009149909019470215
Standard,0.010000020265579224
Standard,0.0033431053161621094
Standard,0.009861469268798828
Standard,0.004803448915481567
Standard,0.010000020265579224
Standard,0.007370859384536743
Standard,0.005340665578842163
Standard,0.00305292010307312
Standard,0.0029303431510925293
Standard,0.002652883529663086
Standard,0.017791062593460083
Standard,0.009609431028366089
Standard,0.007606685161590576
Standard,0.006035417318344116
Standard,0.010000020265579224
Standard,0.005778759717941284
Standard,0.010000020265579224
Standard,0.010000020265579224
Standard,0.0025415122509002686
Standard,0.010000020265579224
Standard,0.009885221719741821
Standard,0.005967080593109131
Standard,0.002974957227706909
Standard,0.0048825740814208984
Standard,0.006930530071258545
Standard,0.006082743406295776
Standard,0.010000020265579224
Standard,0.007017791271209717
Standard,0.005299746990203857
Standard,0.002225041389465332
Standard,0.0
Standard,0.004534900188446045
Standard,0.0055731236934661865
Standard,0.0018217042088508606
Standard,0.009429395198822021
Standard,0.010000020265579224
Standard,0.005779653787612915
Standard,0.000807642936706543
Standard,0.010000020265579224
Standard,0.0019956231117248535
Standard,0.00138825923204422
Standard,0.004095137119293213
Standard,0.0047630369663238525
Standard,0.029509305953979492
Standard,0.005646079778671265
Standard,0.010000020265579224
Standard,0.001215219497680664
Standard,0.0038784146308898926
Standard,0.010000020265579224
Standard,0.005580544471740723
Standard,0.00653347373008728
Standard,0.003071129322052002
Standard,0.0024598538875579834
Standard,0.004300117492675781
Standard,0.009151995182037354
Standard,0.003482133150100708
Standard,0.010000020265579224
Standard,0.002621561288833618
Standard,0.002953171730041504
Standard,0.0
Standard,0.002509206533432007
Standard,0.00808483362197876
Standard,0.004193991422653198
Standard,0.0011966824531555176
Standard,0.0032654404640197754
Standard,0.005966067314147949
Standard,0.0020124614238739014
Standard,0.0027367770671844482
Standard,0.0024437010288238525
Standard,0.010000020265579224
Standard,0.0
Standard,0.010000020265579224
Standard,0.0015828311443328857
Standard,0.010000020265579224
Standard,0.00241243839263916
Standard,0.005967080593109131
Standard,0.0
Standard,0.0022291839122772217
Standard,0.003718748688697815
Standard,0.0029810667037963867
Standard,0.009875774383544922
Standard,0.0004107356071472168
Standard,0.007358342409133911
Standard,0.0029640793800354004
Standard,0.008166491985321045
Standard,0.00159376859664917
Standard,0.016047030687332153
Standard,0.010000020265579224
Standard,0.00865831971168518
Standard,0.008718907833099365
Standard,0.0
Standard,0.004544556140899658
Standard,0.0029507577419281006
Standard,0.009865522384643555
Standard,0.023369282484054565
Standard,0.0015194416046142578
Standard,0.003814786672592163
Standard,0.009115368127822876
Standard,0.004055827856063843
Standard,0.0016543865203857422
Standard,0.0005198121070861816
Standard,0.0029736757278442383
Standard,0.006409198045730591
Standard,0.0039003491401672363
Standard,0.0021785199642181396
Standard,0.007043749094009399
Standard,0.007750213146209717
Standard,0.001226574182510376
Standard,0.009182274341583252
Standard,0.0027846097946166992
Standard,0.005201458930969238
Standard,0.006599515676498413
Engstrom2019Robustness,0.021230190992355347
Engstrom2019Robustness,0.05294111371040344
Engstrom2019Robustness,0.0207994282245636
Engstrom2019Robustness,0.043189167976379395
Engstrom2019Robustness,0.02642396092414856
Engstrom2019Robustness,0.04769134521484375
Engstrom2019Robustness,0.01907294988632202
Engstrom2019Robustness,0.0005938708782196045
Engstrom2019Robustness,0.01972058415412903
